Race,Coach,Location,Nation,Opponent,Tournament Name,Variant,Year,Date,Result,# Draws,# Games,# Losses,# Wins,Opponent TDs,T Ds,TDs Against,TDs For,TDs Net,Win %
Orc,padywan,Spain,Spain,Luis_Roka,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,L,,1,1,,3,0,3,0,-3,0.0%
Norse,Hestiar,Spain,Spain,coach_iosu,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,-1,-1,-1,-1,0,50.0%
Wood Elf,SARAH_CONNOR,Spain,Spain,chicobowl,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,-1,-1,-1,-1,0,50.0%
Chaos Chosen,Pako_SF,Spain,Spain,Juarman,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,-1,-1,-1,-1,0,50.0%
Tomb Kings,SirMayans,Spain,Spain,Ivan_Landwehr,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,0,0,0,0,0,50.0%
Necromantic Horror,Emi_-13-_,Spain,Spain,jisu,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Halfling,jisu,Spain,Spain,Emi_-13-_,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Human,Ivan_Landwehr,Spain,Spain,SirMayans,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,0,0,0,0,0,50.0%
Chaos Renegade,Juarman,Spain,Spain,Pako_SF,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,-1,-1,-1,-1,0,50.0%
High Elf,coach_iosu,Spain,Spain,Hestiar,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,-1,-1,-1,-1,0,50.0%
Goblin,chicobowl,Spain,Spain,SARAH_CONNOR,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,T,1,1,,,-1,-1,-1,-1,0,50.0%
Shambling Undead,Luis_Roka,Spain,Spain,padywan,CorrupciÃ³n en Miami,BB 2020,2020,9/12/2020,W,,1,,1,0,3,0,3,3,100.0%
Orc,lupentercios,Spain,,Karrashantemi,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Black Orc,xiete,Spain,Spain,javin23,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Black Orc,aguss,Spain,Spain,bletos,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Goblin,Lord_buba,Spain,Spain,SirMayans,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Human,ace_bb,Spain,Spain,calltroop,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,0,0,0,0,0,50.0%
Chaos Chosen,sergio,Spain,Spain,Emi_-13-_,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Chaos Chosen,Sasser,Spain,Spain,JANGO314,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,2,2,2,2,0,50.0%
Goblin,8eagle,Spain,,alfr0d0,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Chaos Dwarf,maquinator,Spain,Spain,i-wummi,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Lizardmen,gangcha,Spain,Spain,Mime,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Chaos Renegade,Loberas,Spain,Spain,eu4ico,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,2,4,2,4,2,100.0%
Halfling,Kale,Spain,Spain,totay,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Ogre,Shirokov,Spain,Spain,Godzilla,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Snotling,indio,Spain,Spain,Loz,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,3,0,3,3,100.0%
Norse,Mime,Spain,Spain,gangcha,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Dwarf,Godzilla,Spain,Spain,Shirokov,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Dark Elf,eu4ico,Spain,Spain,Loberas,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,4,2,4,2,-2,0.0%
Nurgle,totay,Spain,Spain,Kale,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Tomb Kings,i-wummi,Spain,Spain,maquinator,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Black Orc,Loz,Spain,Spain,indio,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,3,0,3,0,-3,0.0%
Black Orc,calltroop,Spain,Spain,ace_bb,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,0,0,0,0,0,50.0%
Chaos Renegade,Emi_-13-_,Spain,Spain,sergio,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
High Elf,alfr0d0,Spain,Spain,8eagle,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Goblin,JANGO314,Spain,Spain,Sasser,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,2,2,2,2,0,50.0%
Chaos Renegade,javin23,Spain,Spain,xiete,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Goblin,bletos,Spain,Spain,aguss,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Halfling,SirMayans,Spain,Spain,Lord_buba,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Halfling,Karrashantemi,Spain,Spain,lupentercios,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Orc,lupentercios,Spain,,eu4ico,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,1,0,1,0,-1,0.0%
Lizardmen,gangcha,Spain,Spain,javin23,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,3,0,3,0,-3,0.0%
Black Orc,xiete,Spain,Spain,Lord_buba,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,1,0,1,0,-1,0.0%
Nurgle,totay,Spain,Spain,i-wummi,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Goblin,JANGO314,Spain,Spain,Emi_-13-_,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Halfling,Karrashantemi,Spain,Spain,SirMayans,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Halfling,Kale,Spain,Spain,Shirokov,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Snotling,indio,Spain,Spain,Loberas,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,4,1,4,1,-3,0.0%
Dwarf,Godzilla,Spain,Spain,Loz,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Black Orc,calltroop,Spain,Spain,alfr0d0,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Chaos Chosen,Sasser,Spain,Spain,sergio,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Goblin,bletos,Spain,Spain,maquinator,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Human,ace_bb,Spain,Spain,8eagle,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Black Orc,aguss,Spain,Spain,Mime,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Norse,Mime,Spain,Spain,aguss,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Goblin,8eagle,Spain,,ace_bb,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Chaos Dwarf,maquinator,Spain,Spain,bletos,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Black Orc,Loz,Spain,Spain,Godzilla,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Chaos Chosen,sergio,Spain,Spain,Sasser,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
High Elf,alfr0d0,Spain,Spain,calltroop,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Dark Elf,eu4ico,Spain,Spain,lupentercios,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,1,0,1,1,100.0%
Chaos Renegade,Emi_-13-_,Spain,Spain,JANGO314,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Lizardmen,Roadhog,United States,,Grentain,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,1,0,1,0,-1,0.0%
Norse,FloridaMan,United States,United States Of America,Biscotti,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,1,0,1,0,-1,0.0%
Lizardmen,rhaf,United States,United States Of America,Sturmjarl,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Norse,beansanddice,United States,,Jogrenaught,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Lizardmen,slith,United States,United States Of America,paladinkwa,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,4,0,4,0,-4,0.0%
Vampire,TheDrake,United States,United States Of America,FatNinjaPanda,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Shambling Undead,soppm,United States,,Equity,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Snotling,ThePoPo,United States,United States Of America,Goblinacus,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Dwarf,Liam,Italy,Italy,Gallo,The Masters 2021,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Dwarf,Old_dwarf,France,France,Clement0,Stress Cup IX,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Human,Dadou,France,France,d'jÃ´,Stress Cup IX,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Norse,ThÃ©o,France,France,Ashrame,Stress Cup IX,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Old World Alliance,Alex7419,Germany,Germany,Twyllenimor,Maskenball,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Amazon,Tyveron,United States,United States Of America,Greenheart22,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Wood Elf,Zephiel,United States,,Acavenas,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Norse,AlphaWolf,United States,United States Of America,nornbreeder,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,1,2,1,2,1,100.0%
Chaos Chosen,Doombeard_Dave,United States,United States Of America,Aftershock912,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Black Orc,lootloader,United States,,Mowgli,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,1,3,1,3,2,100.0%
Ogre,Brogre,United States,United States Of America,Joker2and53,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,1,0,1,1,100.0%
Snotling,Ikeda,United States,United States Of America,SquishyToad,Coliseum Cup 2021,BB 2020,2021,2/20/2021,W,,1,,1,0,2,0,2,2,100.0%
Human,Acavenas,United States,United States Of America,Zephiel,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Black Orc,Joker2and53,United States,United States Of America,Brogre,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,1,0,1,0,-1,0.0%
Chaos Chosen,Greenheart22,United States,,Tyveron,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Chaos Chosen,SquishyToad,United States,,Ikeda,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Necromantic Horror,Aftershock912,United States,United States Of America,Doombeard_Dave,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,0,2,0,-2,0.0%
Goblin,nornbreeder,United States,United States Of America,AlphaWolf,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,2,1,2,1,-1,0.0%
Halfling,Mowgli,United States,United States Of America,lootloader,Coliseum Cup 2021,BB 2020,2021,2/20/2021,L,,1,1,,3,1,3,1,-2,0.0%
Chaos Dwarf,Equity,United States,,soppm,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Black Orc,Goblinacus,United States,,ThePoPo,Coliseum Cup 2021,BB 2020,2021,2/20/2021,T,1,1,,,1,1,1,1,0,50.0%
Tomb Kings,i-wummi,Spain,Spain,totay,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Chaos Renegade,javin23,Spain,Spain,gangcha,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,3,0,3,3,100.0%
Chaos Renegade,Loberas,Spain,Spain,indio,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,4,1,4,3,100.0%
Goblin,Lord_buba,Spain,Spain,xiete,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,1,0,1,1,100.0%
Halfling,SirMayans,Spain,Spain,Karrashantemi,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Ogre,Shirokov,Spain,Spain,Kale,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Black Orc,Loz,Spain,Spain,JANGO314,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Chaos Renegade,Loberas,Spain,Spain,javin23,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Black Orc,aguss,Spain,Spain,eu4ico,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Ogre,Shirokov,Spain,Spain,SirMayans,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Snotling,indio,Spain,Spain,Kale,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Black Orc,xiete,Spain,Spain,totay,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
High Elf,alfr0d0,Spain,Spain,sergio,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Orc,lupentercios,Spain,,Mime,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,1,0,1,1,100.0%
Human,ace_bb,Spain,Spain,bletos,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Dwarf,Godzilla,Spain,Spain,8eagle,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Black Orc,calltroop,Spain,Spain,gangcha,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Chaos Chosen,Sasser,Spain,Spain,Lord_buba,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Chaos Renegade,Emi_-13-_,Spain,Spain,maquinator,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Halfling,Karrashantemi,Spain,Spain,i-wummi,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Norse,Mime,Spain,Spain,lupentercios,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,1,0,1,0,-1,0.0%
Chaos Dwarf,maquinator,Spain,Spain,Emi_-13-_,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Lizardmen,gangcha,Spain,Spain,calltroop,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Tomb Kings,i-wummi,Spain,Spain,Karrashantemi,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Goblin,bletos,Spain,Spain,ace_bb,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Goblin,Lord_buba,Spain,Spain,Sasser,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Goblin,8eagle,Spain,,Godzilla,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Chaos Chosen,sergio,Spain,Spain,alfr0d0,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Nurgle,totay,Spain,Spain,xiete,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Dark Elf,eu4ico,Spain,Spain,aguss,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Chaos Renegade,javin23,Spain,Spain,Loberas,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Goblin,JANGO314,Spain,Spain,Loz,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Halfling,SirMayans,Spain,Spain,Shirokov,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Halfling,Kale,Spain,Spain,indio,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Human,ace_bb,Spain,Spain,Emi_-13-_,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,3,0,3,0,-3,0.0%
Black Orc,aguss,Spain,Spain,i-wummi,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Black Orc,xiete,Spain,Spain,Mime,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,3,1,3,1,-2,0.0%
Snotling,indio,Spain,Spain,alfr0d0,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Halfling,Kale,Spain,Spain,calltroop,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Black Orc,Loz,Spain,Spain,totay,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Orc,lupentercios,Spain,,8eagle,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Dwarf,Godzilla,Spain,Spain,JANGO314,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,4,0,4,4,100.0%
Chaos Chosen,Sasser,Spain,Spain,eu4ico,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,3,0,3,3,100.0%
Chaos Renegade,Loberas,Spain,Spain,Karrashantemi,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,3,1,3,2,100.0%
Goblin,Lord_buba,Spain,Spain,gangcha,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,1,0,1,1,100.0%
Goblin,bletos,Spain,Spain,sergio,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Halfling,SirMayans,Spain,Spain,javin23,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Ogre,Shirokov,Spain,Spain,maquinator,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Lizardmen,gangcha,Spain,Spain,Lord_buba,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,1,0,1,0,-1,0.0%
Dark Elf,eu4ico,Spain,Spain,Sasser,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,3,0,3,0,-3,0.0%
Chaos Dwarf,maquinator,Spain,Spain,Shirokov,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Chaos Chosen,sergio,Spain,Spain,bletos,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Chaos Renegade,javin23,Spain,Spain,SirMayans,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,1,2,1,-1,0.0%
Goblin,8eagle,Spain,,lupentercios,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,2,0,2,0,-2,0.0%
Goblin,JANGO314,Spain,Spain,Godzilla,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,4,0,4,0,-4,0.0%
Halfling,Karrashantemi,Spain,Spain,Loberas,Pedriza Bowl,BB 2020,2020,12/12/2020,L,,1,1,,3,1,3,1,-2,0.0%
Nurgle,totay,Spain,Spain,Loz,Pedriza Bowl,BB 2020,2020,12/12/2020,T,1,1,,,1,1,1,1,0,50.0%
Norse,Mime,Spain,Spain,xiete,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,3,1,3,2,100.0%
High Elf,alfr0d0,Spain,Spain,indio,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,2,0,2,2,100.0%
Black Orc,calltroop,Spain,Spain,Kale,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Tomb Kings,i-wummi,Spain,Spain,aguss,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,1,2,1,2,1,100.0%
Chaos Renegade,Emi_-13-_,Spain,Spain,ace_bb,Pedriza Bowl,BB 2020,2020,12/12/2020,W,,1,,1,0,3,0,3,3,100.0%
Amazon,Tyveron,United States,United States Of America,Jogrenaught,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,L,,1,1,,2,0,2,0,-2,0.0%
Shambling Undead,palmiro,Australia,,dazedmw,Little V 2021,BB 2020,2021,1/16/2021,L,,1,1,,2,1,2,1,-1,0.0%
Nurgle,Headso,Australia,,lukeadrian,Little V 2021,BB 2020,2021,1/16/2021,L,,1,1,,2,1,2,1,-1,0.0%
Underworld Denizens,jonno3608,Australia,Australia,GreySquirrel,Little V 2021,BB 2020,2021,1/16/2021,L,,1,1,,3,1,3,1,-2,0.0%
Goblin,nornbreeder,United States,United States Of America,karrwolves,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,L,,1,1,,2,1,2,1,-1,0.0%
Snotling,johnnywilkinson,Australia,Australia,nubs11,Little V 2021,BB 2020,2021,1/16/2021,L,,1,1,,2,1,2,1,-1,0.0%
Goblin,Meals,Australia,,Thorslev,Little V 2021,BB 2020,2021,1/16/2021,L,,1,1,,3,1,3,1,-2,0.0%
Halfling,Mowgli,United States,United States Of America,servinwow,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,L,,1,1,,3,1,3,1,-2,0.0%
Dwarf,joeldownie,Australia,Australia,Dust,Little V 2021,BB 2020,2021,1/16/2021,T,1,1,,,1,1,1,1,0,50.0%
Necromantic Horror,TheWhyda,United States,,Brogre,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,T,1,1,,,0,0,0,0,0,50.0%
Tomb Kings,KSHARPER,Australia,Australia,Eightlives,Little V 2021,BB 2020,2021,1/16/2021,T,1,1,,,1,1,1,1,0,50.0%
Halfling,HydroHound,Australia,Australia,knine,Little V 2021,BB 2020,2021,1/16/2021,T,1,1,,,1,1,1,1,0,50.0%
Amazon,AlphaWolf,United States,United States Of America,Aftershock912,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,W,,1,,1,0,2,0,2,2,100.0%
Human,Joker2and53,United States,United States Of America,scoobyfr,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,W,,1,,1,1,2,1,2,1,100.0%
Lizardmen,AlMightyPePe22,United States,United States Of America,TheDrake,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,W,,1,,1,1,2,1,2,1,100.0%
Tomb Kings,Biscotti,United States,,FloridaMan,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,W,,1,,1,0,1,0,1,1,100.0%
Necromantic Horror,Makarri,United States,Canada,Sturmjarl,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,W,,1,,1,0,2,0,2,2,100.0%
Snotling,ThePoPo,United States,United States Of America,Acavenas,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,W,,1,,1,0,4,0,4,4,100.0%
Amazon,Aftershock912,United States,United States Of America,AlphaWolf,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,L,,1,1,,2,0,2,0,-2,0.0%
Human,Sturmjarl,United States,United States Of America,Makarri,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,L,,1,1,,2,0,2,0,-2,0.0%
Human,Acavenas,United States,United States Of America,ThePoPo,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,L,,1,1,,4,0,4,0,-4,0.0%
Lizardmen,scoobyfr,United States,,Joker2and53,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,L,,1,1,,2,1,2,1,-1,0.0%
Chaos Chosen,FloridaMan,United States,United States Of America,Biscotti,Dogs of Wargaming Cup,BB 2020,2021,1/16/2021,L,,1,1,,1,0,1,0,-1,0.0%
Orc,ivanyukio,Mexico,,zacekzuyua,EL NOVENO OTOÃO FMBB,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Shambling Undead,Loken,France,France,ayvess,Stress Cup IX,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Shambling Undead,Alronno,Germany,Germany,melmoth,Maskenball,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Shambling Undead,Claymore,New Zealand,New Zealand,Doomfox,Mainland Bowl 2021,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Skaven,Astypal,France,France,Ashrame,Stress Cup IX,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Skaven,BlackCaps,New Zealand,New Zealand,toffer,Mainland Bowl 2021,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Skaven,rolo,Germany,Germany,Lichemaster,Ghostbowl 23,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
Wood Elf,Thot,France,France,poireabricot,Stress Cup IX,BB 2020,2021,11/7/2021,T,1,1,,,1,1,1,1,0,50.0%
